name,description,school,type
Wisp of Light,"Summon a shimmering, floating speck of light that lasts for 8 hours, increasing your light level to Glowing light. The wisp is tethered to the caster but can be positioned up to 5 meters away at will. The caster may spend additional spell points during the spell’s lifetime to adjust the light. Each spell point allows the caster to increase or decrease the light level by 1.",fire,fire
Kindle,"Ignite a flickering ember at the caster’s fingertips, lasting for 10 seconds—enough to set dry wood ablaze.",fire,fire
Cauterize Wound,"Seal a bleeding wound with a burst of searing heat, restoring one lost life if cast immediately after combat. Only 1 life can be healed like this after combat.",fire,fire
Melt Ice,"Unleash a wave of heat to melt a 2x2 meter block of ice. Additional spell points double the area affected: 4x4, 8x8, 16x16, etc.",fire,fire
Coldward,"Create an invisible warmth, nullifying all cold effects, magical or otherwise, within a 2-meter radius for 2 hours. Additional spell points increase the radius by 2 meters per point.",fire,fire
Flaming Armament,"Engulf a weapon in roaring flames for 1 hour or until the end of the next combat. The weapon’s attacks are considered Fire attacks and grant an additional +1 brawn attack.",fire,fire
Ice Bridge,"Conjure a sleek, frost-bound bridge spanning 5 meters in length and 1 meter in width, lasting for 1 hour. Additional spell points extend its length by 2 meters per point.",frost,cold
Icy Armament,"Encase a weapon in a layer of biting frost, imbuing it with a chilling aura. The weapon’s attacks are considered Cold attacks and grant an additional +1 brawn attack. This effect lasts for 1 hour or until the end of the next combat.",frost,cold
Extinguish,"Summon a gust of icy force to snuff out flames. At its base level, it can quench a burning shed, with additional spell points increasing the size of the fire extinguished at the GM’s discretion.",frost,cold
Mist,"Create mist from the caster’s hand, which reaches 10 meters from their position, obscuring vision for 10 minutes. Additional spell points increase the distance the mist travels by 5 meters each.",water,cold
Underwater Breathing,"A spell that allows any creature touched by the caster to breathe underwater for 1 hour.",water,cold
Puddle Shape,"Allows the caster to take the shape of a puddle of water for 1 hour, or until they wish to break the spell.",water,cold
Cure,"This spell allows the caster to purify any common malady from a creature they touch. The spell may also be used on bodies of water to purify them, unless the source of the taint is sentient.",water,cold
